Record ID,Created on,Created by,Edited on,Edited by,Company Name,Short Name,Phone,Fax,Email,Web address,Group,Permission,Address 1,Address 2,City,Country,Zone,Postal Code,Tax ID,Dynamics ID,Description
1237,18/12/2015 23:28,Georgi Hristov,,,41. Oceanus Schiffahrts GmbH &,,,,,,Vendor,Public,c/o Reederei CP Offen,Bleichenbrücke 10,Hamburg,Germany,,20354,,8001309,
1236,18/12/2015 23:28,Georgi Hristov,,,42. Oceanus Schiffahrts-GmbH &,,,,,,Vendor,Public,c/o Reederei C.P. Offen,Bleichenbrücke 10,Hamburg,Germany,,20354,,8001308,
4365,27/1/2017 13:02,Auto Import,,,53 Nord Marine Surveyor,,0421 84799913,0421 67308882,MERKEL@MARINE-SURVEYOR.de,,Vendor,Public,Am Hollerfleet 15,,Bremen,Germany,,28355,,8140109,
4229,1/2/2016 16:45,Auto Import,,,7 Shipping Transportes Despachos E Servicos LTDA,,,,,,Vendor,Public,Av. Conselheiro Nebias  756 cj. 817,Santos-SP,Bairro Boqueirao,Brazil,,,,8190724,
5313,1/2/2019 15:33,Auto Import,8/8/2019 8:45,Nicole Eggers,7 Solutions GmbH,,,,order@7solutions.de,,Vendor,Public,Mathias-Brüggen-Str. 39,,,Germany,,50827 KÖLN,,8190831,
8779,14/1/2026 9:55,Hareesh Babu,,,A & F Drucklufttechnik GmbH,,,,info@auf.net,,Vendor,Public,Brookkehre 42 21029  Hamburg - Bergedorf,,,Germany,,,,,
4124,1/2/2016 16:36,Auto Import,,,A 10 MARINE Sarl,,+229 90 90 51 16/+229 61792335,+ 229 21 31 64 32,adismarine@ymail.com,,Vendor,Public,Hall des Armateurs  Port de Peche,,Cotonou,Benin,,01 BP 5348,,8010142,
350,18/12/2015 23:27,Georgi Hristov,,,A M Seguridas Y Supervivencia,,,,,,Vendor,Public,R.D.0204.94/DCG DEL 3 De Junio,De 1994 AV. Santa Rosa 791,Callao 4,Peru,,,,8000194,
4069,1/2/2016 16:35,Auto Import,,,A R Brink & Associates cc,,,,,,Vendor,Public,P O Box 29238  143 Maydon Road,,Maydon Wharf,South Africa,,4057,,8010139,
6615,12/9/2019 16:45,Auto Import,,,A-Z Marine B OU,,,,,,Vendor,Public,Ahtri12,,,Estonia,,10151 TALLINN,,8010215,
2730,18/12/2015 23:31,Georgi Hristov,,,A. Kouame-Benya,,,,,,Vendor,Public,,,,Greece,,,,8110052,
6447,12/4/2019 17:44,Georgi Hristov,,,A. RIZA KINAY SHIPPING AGENCIES &amp; TRADING INC.,,,,,,Vendor,Public,,,Istanbul,Turkey,,,,90029009,
4273,27/1/2017 12:40,Auto Import,,,A. Santamaria Srl,,010/2470656,010/2461061,m.gormarino@a-santamaria.it,,Vendor,Public,Via dei Pescatori,,Genova,Italy,,16129,,8190747,
4448,1/2/2017 17:04,Auto Import,,,A.I. Acrairas Pte. Ltd.,,,,,,Vendor,Public,17 Mandai Estate #05-01A,Hwa Yey Industrial Building,Singapore,Singapore,,729934,,8010161,
265,18/12/2015 23:27,Georgi Hristov,,,A.M.B. Consulting,,,,,,Vendor,Public,Paul-Dessau Str. 1,,Hamburg,Germany,,22761,,8000107,
1918,18/12/2015 23:30,Georgi Hristov,,,A.M.E. Atlantic Marine Enterprises GmbH,,+49 4401 914238,+49 4401 914-209,timo.wispeler@ame-bremen.de,,Vendor,Public,Neustadtstr. 15,,Brake,Germany,,26919,,8010105,
4553,1/2/2017 17:08,Auto Import,,,A.P.M. Petrides & Sons Ltd,,+357 25 36 33 47,,philippos@apmpetrides.com,,Vendor,Public,,,,Cyprus,,,,9002321,
7455,6/3/2024 22:37,Georgi Hristov,,,A.P.Moeller -NUR FÜR LAURA-,,,,,,Customer,Public,Maersk Sealand,50  Esplanaden,Copenhagen,Denmark,,1098,,1000111,
7445,6/3/2024 22:37,Georgi Hristov,,,A.P.Moeller  Maersk Sealand,,,,,,Customer,Public,50  Esplanaden,,Copenhagen,Denmark,,1098,,1000101,
293,18/12/2015 23:27,Georgi Hristov,,,A.P.Moeller  Maersk Sealand,,,,,,Vendor,Public,,,Copenhagen,Denmark,,1098,,8000136,
1894,18/12/2015 23:30,Georgi Hristov,,,A.P.Moller - Maersk A/S,,,,,,Vendor,Public,,,Copenhagen,Denmark,,1098,,8010081,
1909,18/12/2015 23:30,Georgi Hristov,,,A.S.G. Shipping / Algeciras /Spain,,+34 956 09 98 83,+34 956 09 33 41,j.flores@asgshipping.com,,Vendor,Public,,,,Spain,,,,8010096,
3007,18/12/2015 23:32,Georgi Hristov,,,A.W. Niemeyer GmbH,,0180-5259797,0180-5259798,auftrag@awn.de,,Vendor,Public,Holstenkamp 58,,Hamburg,Germany,,22525,,8140030,
7465,6/3/2024 22:37,Georgi Hristov,,,A&E Fondsholding SCSo,,,,,,Customer,Public,Op de Heckmill 31,,Grevenmacher,Luxembourg,,6783,,1000121,
6570,11/7/2019 15:54,Auto Import,,,A&O GROUP,,,,,,Vendor,Public,HASHAKED ST 2B,Nahariya,,Israel,,,,8010212,
6179,12/4/2019 17:43,Georgi Hristov,,,Aachen Münchener,,,,,,Vendor,Public,,,Hamburg,Germany,,20081,,8010180,
278,18/12/2015 23:27,Georgi Hristov,,,Aachener Reittunier GmbH,,,,,,Vendor,Public,Postfach 50 01 01,,Aachen,Germany,,52085,,8000121,
1876,18/12/2015 23:30,Georgi Hristov,,,Aadarsh Sales Company,,9702496695,022-23452003,aadarshent.sales@gmail.com,,Vendor,Public,Office No. 16 & 20-A  3rd floor ,Parekh Chambers  127  Chakla Street,Mumbai,India,,4000 003,,8010063,
3851,18/12/2015 23:34,Georgi Hristov,17/2/2026 10:31,Eirini Naki,Aage Hempel (DO NOT USE),,0034 956573276,0034 956602088,service@aagehempel.com,,Vendor,Public,Paeco de La Cenferencia 13,,Algeciras,Spain,,11207,,9001891,
1930,18/12/2015 23:30,Georgi Hristov,,,Aage Hempel Crame,,34956573276,34956602088,,,Vendor,Public,Area de En Frenso Oficina B101-B117 11370,,Los Barrios  Cadiz,Spain,,,,8010117,
4554,1/2/2017 17:08,Auto Import,28/3/2023 15:54,Janine Kleiber,Aage Hempel Marine Electronics,,+34 956 573 276,+34 956602088,service@aagehempel.com,,Vendor,Public,,,Algeciras Spain,Spain,,,,9002322,
5194,30/7/2018 16:20,Georgi Hristov,,,AALBORG INDUSTRIES ASIA LIMITED,,+86 139 1852 0323,,aalborg-industries@hotmail.com,,Vendor,Public,Unit B 15/F Full Win Commercial Centre  573Nathan,Road  Yaumatei,Kowloon  Hongkong,China,,,,8010174,
300,18/12/2015 23:27,Georgi Hristov,,,Aalborg Industries Limited,,85228363826,85228358905,hkg@aalborg-industries.com.cn,,Vendor,Public,485 Castle Peak Road,,Hongkong,China,,,,8000143,
1831,18/12/2015 23:30,Georgi Hristov,,,Aale Ship Service,,,,,,Vendor,Public,,,Honolulu Hawaii,United States of America,,,,8010016,
6188,12/4/2019 17:43,Georgi Hristov,22/1/2021 10:22,Georgi Hristov,Aalmar Surveys Ltd.,Independent Ship surveyors,44(0)20 79232815,,info@aalmar.com,,Technical Inspections Vendor,Public,The Penthouse.35 SoDa Studios,268 Kingsland Road,London,United Kingdom,,E8 4BH,,8010202,
4555,1/2/2017 17:08,Auto Import,,,Aaron Marine Offshore PTE Ltd,,,,sales@aaronoffshore.com. service@aaronoffshore.com,,Vendor,Public,,,,Singapore,,,,9002323,
6497,10/5/2019 14:27,Auto Import,,,AASUTOSH MARINE,,,,,,Vendor,Public,,,,India,,,,90029033,
2023,18/12/2015 23:30,Georgi Hristov,,,AB - Dr.A.Berg GmbH,,,,,,Vendor,Public,Ruhrstrasse 49,,Hamburg,Germany,,22761,,8020083,
1851,18/12/2015 23:30,Georgi Hristov,,,AB DFS Donsö Fiskeredskap,,,,,,Vendor,Public,Fiskebäcks Hamn 7,,Västra Frölunda,Sweden,,426 58,,8010038,
7397,18/1/2024 10:17,Auto Import,,,AB MARINE SERVICE,PTE. LTD.,91469164,,sales@abmarine.com.sg,,Vendor,Public,31 Bukit Batok Cresent,01 12 The Splendour,,Singapore,,658070,,90029227,
7281,12/8/2022 17:19,Auto Import,,,Ab-surveyors,,+34 963 306 051,,info@absurveyors.com,,Vendor,Public,,,Valencia,Spain,,,,8010232,
5451,12/4/2019 17:41,Georgi Hristov,,,Ababii  Costinel,,,,,,Vendor,Public,,,,Romania,,,,5000079,
4556,1/2/2017 17:08,Auto Import,,,ABB (CYPRUS),,+357 25 343428,,services.marine@cy.abb.com,,Vendor,Public,1 Alexandrias str Ind. Area Ag.Sylas,,,Cyprus,,3 PHASE 4180 P.O BOX,,9002324,
271,18/12/2015 23:27,Georgi Hristov,,,ABB Automation GmbH,,31 78 77-0,,marine.deabb@de.abb.com,,Vendor,Public,Am Neuländer Gewerbepark 3,,Hamburg,Germany,,21079,,8000114,
3847,18/12/2015 23:34,Georgi Hristov,,,ABB Process Industries GmbH,,06206-503-281,06206-503-620,,,Vendor,Public,Am Neuländer Gewerbepark 5,,Hamburg,Germany,,21079,,9001834,
5196,30/7/2018 16:20,Georgi Hristov,,,ABB Pte. Ltd Turbocharging Service,,+65 6865 3092,,,,Vendor,Public,2 Tuas Lane,,Singapore,Singapore,,638611,,8010184,
4557,1/2/2017 17:08,Auto Import,,,ABB SA,,35725343428,,chris.michael@cy.abb.com,,Vendor,Public,1 Alexandrias Str ind Zone Ag Sylla,,Cyprus,Cyprus,,3RD PHASE  4180 LIMA,,9002325,
280,18/12/2015 23:27,Georgi Hristov,,,ABB Zamech Marine Sp. z.o.o.,,,,,,Vendor,Public,ul. Stoczniowa 2,,Elblag,Poland,,82-300,,8000123,
8547,10/4/2025 12:03,Marc Iaconis,,,ABBEY MARINE FENDER,GEN REPAIRS,,,adebisiabiodun23@gmail.com,,Vendor,Public,,,,Nigeria,,,,,
1835,18/12/2015 23:30,Georgi Hristov,,,Abbey Seay Shipping Service,,,,,,Vendor,Public,Alicia Moreau,,,,,,,8010022,
8301,30/3/2024 23:08,Auto Import,12/12/2025 12:20,Eirini Naki,Abbott Healthcare Connections Ltd,,,,toxeu.maritime04@abbott.com,,Vendor,Public,,,Unit 8  Prospect Business Park  Langston Road  Loughton  Essex ,United Kingdom,,,,90029068,
8866,20/4/2026 17:32,Hareesh Babu,,,Abbott Toxicology Ltd,,,,william.burns2@abbott.com,,Vendor,Public,21 Blacklands Way Abingdon Oxfordshire OX14 1DY,,,United Kingdom,,,,,O: +44 (0) 1235 861 483 william.burns2@abbott.com
1899,18/12/2015 23:30,Georgi Hristov,,,abcfinance GmbH,,,0221/57908-440,,,Vendor,Public,Karnekestraße 2-8,,Köln,Germany,,50672,,8010086,
327,18/12/2015 23:27,Georgi Hristov,,,ABCON ApS,,0045 4516 1163,0045 4516 1733,,,Vendor,Public,Helenevej 9,,Rungsted Kyst,Denmark,,2960,,8000170,
6633,7/10/2019 16:00,Auto Import,,,ABCON Marine Products AS,,,,,,Vendor,Public,Ved Klaedebo 9,,,Denmark,,2970 HORSHOLM,,8010216,
1939,18/12/2015 23:30,Georgi Hristov,,,ABE Inzenjering d.o.o.,,+385 51 317 410,+ 385 51 211 818,d.bubnic@abe-inzenjering.hr,,Vendor,Public,Vodovodna 17,,Rijeka  Hrvatska,Croatia,,51000,,8010126,
332,18/12/2015 23:27,Georgi Hristov,,,abends.net objekte UG,,,,,,Vendor,Public,Elbchaussee 13,,Hamburg,Germany,,22587,,8000175,
1817,18/12/2015 23:30,Georgi Hristov,,,ABG-Pumpen,,209442 0,293483,info@abg-pumpen.de,,Vendor,Public,Dehnhaide 147,,Hamburg,Germany,,22081,,8010002,
4368,27/1/2017 13:02,Auto Import,,,abh INGENIEUR-TECHNIK GmbH,,-14149,-14175,abh@abh-emden.com,,Vendor,Public,Nesserlander Straße 76,,Emden,Germany,,26723,,8010169,
1850,18/12/2015 23:30,Georgi Hristov,31/1/2019 16:59,Georgi Hristov,ABS American Bureau of Shipping,ABS,,,,,Classification Society Vendor,Public,ABS Plaza  16855 Northcase,Drive,Houston,United States of America,,TX 77060,,8010037,
7261,6/7/2022 15:49,Auto Import,,,ABS American Bureau of Shipping,Malta Branch office,+356 2123 0769,0356 2124 6107,,,Vendor,Public,No.13  2nd Floor,,Malta,Malta,,,,8010230,
7301,11/11/2022 14:50,Auto Import,,,ABS American Bureau of Shipping,,,,,,Vendor,Public,1701 City Plaza Drive,Spring  TX 77389,,United States of America,,,,8010234,
7293,6/10/2022 15:29,Auto Import,,,ABS American Bureau of Shipping (China) Limited,,,,,,Vendor,Public,500 Guangdong Road,Shanghai,,China,,,,8010233,
7375,26/9/2023 20:02,Auto Import,,,ABS MARITIME SERVICES,,,,,,Vendor,Public,,,,,,,,90029217,
1915,18/12/2015 23:30,Georgi Hristov,,,AC-Injection GmbH,,(+49) 04101-309 64-0,(+49) 04101-309 64-1,h.lueddemann@ac-injection.de,,Vendor,Public,Industriestraße 8,,Pinneberg,Germany,,25421,,8010102,
1844,18/12/2015 23:30,Georgi Hristov,,,aca Arned-Cela Agencies BVBA,,,,,,Vendor,Public,Cadixstraat 7,,Antwerp,Belgium,,2000,,8010031,
7229,28/4/2022 11:12,Auto Import,,,Access Harbour Services Pte Ltd,,6265 0213,,Access.acc@searchingoffshore.com.sg,,Vendor,Public,28E Penjuru Close  No. 01-07,,Singapore,Singapore,,609133,,90029147,
6171,12/4/2019 17:43,Georgi Hristov,,,Accountancy Hub,,,,,,Vendor,Public,105 Cecil Street #15-02,the octagon,Singapore,Singapore,,,,8010165,
7096,24/8/2021 11:32,Nicole Eggers,,,ACE Corp  Ltd.,,,,acedrain11@gmail.com,,Vendor,Public,16-17  Chilsan-ro 387beon-gil,,Gimhae-City,Korea South,,,,,
6790,4/5/2020 9:23,Auto Import,,,ACE-RMS MARINE SERVICE CO. LTD.,,,,,,Vendor,Public,,,Busan,,,,,90029064,
8627,27/8/2025 16:05,Marc Iaconis,,,ACELAB,,,,technical@acelabview.com,,Technical Inspections Vendor,Public,,,,Nigeria,Lagos,,,,ELECTROTECHNICAL
277,18/12/2015 23:27,Georgi Hristov,,,ACETONE Office Systems GmbH,,,,,,Vendor,Public,Mehringsdamm 101,,Berlin,Germany,,10965,,8000120,
4558,1/2/2017 17:08,Auto Import,,,ACG Italy - DO NOT USE,,+39 010 461371,,service@acgmarine.com,,Vendor,Public,,,,Italy,,,,9002326,
2158,18/12/2015 23:30,Georgi Hristov,5/11/2024 8:47,Janine Kleiber,ACG Marine Equip.,,,,tech@acgmarine.com,,Vendor,Public,Piazza Fulcieri Paolucci De Calboli  1,,Genova,Italy,,16161,,8030045,
1907,18/12/2015 23:30,Georgi Hristov,,,ACGI Shipping LLC.,,,,vcraccounts@acgishipping.com,,Vendor,Public,111 West Ocean BLVD.  STE 1025,,Long Beach,United States of America,,CA 90802,,8010094,
279,18/12/2015 23:27,Georgi Hristov,,,Achtundzwanzigste Katharinen,,,,,,Vendor,Public,Bei den Mühren 1,,Hamburg,Germany,,20457,,8000122,
7456,6/3/2024 22:37,Georgi Hristov,,,Achtzehnte Maritim Invest,,,,,,Customer,Public,Bet.gesellschaft mbH &  Co. KG,Zippelhaus 2,Hamburg,Germany,,20457,,1000112,
2896,18/12/2015 23:32,Georgi Hristov,,,Achtzehnte Maritim Invest,,,,,,Vendor,Public,Zippelhaus 2,,Hamburg,Germany,,20457,,8130135,
7447,6/3/2024 22:37,Georgi Hristov,,,Achtzigste KG NRG Bet.Ges.,,,,,,Customer,Public,,,,,,,,1000103,
85,24/6/2014 13:04,Georgi Hristov,,,Achtzigste Kommanditgesellschaft NRG Norddeutsche Reederei-Beteiligungsgesellschaft mbH & Co.,,,,,,---,Public,,,,Germany,,,,,
4987,1/2/2017 17:10,Auto Import,,,ADA COMPUTER SOFTWARE,,,,,,Vendor,Public,,,,Cyprus,,,,9002836,
4415,27/1/2017 13:13,Auto Import,,,Adalbert Zajadacz GmbH,,,,,,Vendor,Public,Lessingstraße 46,,Neu Wilmsdorf,Germany,,21629,,8002229,
1848,18/12/2015 23:30,Georgi Hristov,,,Adamallys L.L.C,,,,,,Vendor,Public,P.O.X 4684,,Dubai U.A.E,United Arab Emirates,,,,8010035,
7260,5/7/2022 8:44,Auto Import,,,ADAMAR DIS TICARET VE,DENIZCILIK HIZMETLERI SAN. TIC. A.S.,,,,,Vendor,Public,,,,,,,,90029163,
7271,26/7/2022 10:43,Auto Import,,,ADAMAR INTERNATIONAL MARITIME SERVICES INC.,ADAMAR DIS TICARET VE DENIZCILIK HIZ.SAN.TIC. A.S.,+90 232 616 17 19,+90 232 617 20 21,adamar@adamarine.com,,Vendor,Public,Coraklar mah. 5003 Sk. No:26 Aliaga Organize Sanay,Organize Sanayi Bolgesi,Aliaga Izmir,Turkey,,35800,,8010231,
1836,18/12/2015 23:30,Georgi Hristov,4/3/2019 10:37,Federico Schulz,Adamar International Ship,,-2326161629,+90 2326172001,sales@adamarine.com,http://www.adamarine.com,Vendor,Public,Rauf Orbay Cad.Evliya Celebi,Mah  Ebe Sokak No 3/1,Icmeler Tuzla  Istanbul,Turkey,,,,8010023,
6060,12/4/2019 17:42,Georgi Hristov,,,Adamenko  Andrii,,,,,,Vendor,Public,,,,Ukraine,,,,5000833,
5623,12/4/2019 17:41,Georgi Hristov,,,Adamian  Oleksandr,,,,,,Vendor,Public,,,,Ukraine,,,,5000336,
270,18/12/2015 23:27,Georgi Hristov,,,Adler  Richard,,,,radlerbremen@googlemail.com,,Vendor,Public,Loignystr. 44,,Bremen,Germany,,28211,,8000112,
1924,18/12/2015 23:30,Georgi Hristov,,,Admarel B.V.,,0031786921900,0031786921901,,,Vendor,Public,Van Hennaertweg 17a,,Alblasserdam,Netherlands,,2952 CA,,8010111,
1900,18/12/2015 23:30,Georgi Hristov,,,Admiral Harding Ltd.,,+ 44 (0) 1179 821229,+ 44 (0) 1179 822214,info@admiralharding.com,,Vendor,Public,Unit C The Nova Distribution Centre,Nova Way Avonmouth,Bristol,United Kingdom,,BS11 9DJ,,8010087,
8488,6/2/2025 7:46,Janine Kleiber,,,Adnee Multiservices Ltd,Adnee,,,adneemultiservicesltd@yahoo.com,,Vendor,Public,43 Ada George Roa,,Port Harcourt ,Nigeria,,,,,
341,18/12/2015 23:27,Georgi Hristov,,,Adolf C C Rüegg GmbH u Co,,,,,,Vendor,Public,Papenreye 19,,Hamburg,Germany,,22453,,8000184,
4559,1/2/2017 17:08,Auto Import,,,Adolf Thies GmbH & Co. KG,,,,manuela.podstawa@thiesclima.com,,Vendor,Public,Hauptstrae 76,,,Germany,,37083 GOETTINGEN GER,,9002328,
5118,30/7/2018 15:50,Georgi Hristov,,,Adria Cargo Koper d.o.o.,,00386-5-66-34-131,00386-5-66-34-149,adriacargo.ops@atnet.si,,Vendor,Public,Pristaniska 8,,Koper,Slovenia,,6000,,8010173,
4359,27/1/2017 13:02,Auto Import,,,Adria-Tow D.O.O.,,,,,,Vendor,Public,Vojkovo nabrezje 38,,Koper,Slovenia,,,,8010155,
295,18/12/2015 23:27,Georgi Hristov,31/10/2025 9:52,Georgi Hristov,Adriatic Ship Supply Co. Inc.,,0012156727174,0012156744202,adriaticusa@gmail.com,,Vendor,Public,Postbox 305,,Hatboro,United States of America,Pennsylvania,19040 PA,,8000138,
1863,18/12/2015 23:30,Georgi Hristov,,,Adriatica d.o.o.,,+385 (0)51 214 511,+385 (0)51 214 300,agency@adriatica-ri.hr,,Vendor,Public,Verdieva 6 VI,,RIJEKA,Croatia,,51000,,8010050,
1929,18/12/2015 23:30,Georgi Hristov,21/1/2019 9:37,Federico Schulz,Advanztec,,+65 6448 5580,+65 6445 2484,sales@advanztec.com,,Vendor,Public,77 Bedok North Road 04-206,,Singapore,Singapore,,460077,,8010116,
8841,5/3/2026 10:18,Eirini Naki,,,AEG Industrial Engineering AG,,,,service@aeg-ie.com,,Vendor,Public,,,,Germany,,,,,
1927,18/12/2015 23:30,Georgi Hristov,,,Aegean Marien Petroleum LLC,,,,,,Vendor,Public,PO Box 2688,,Fujairah,United Arab Emirates,,,,8010114,
4560,1/2/2017 17:08,Auto Import,,,Aegir Marine BV,,+31 343 432 509,,sales@aegirmarine.com A.Pramatarov@aegirmarine.com,,Vendor,Public,Molenvliet 34,,,Netherlands,,3961 MV WIJK BIJ DUU,,9002329,
6785,9/4/2020 15:35,Federico Schulz,,,AEGIR-Marine Singapore,,+65 67 53 6188,+65 67 53 6088,singapore@aegirmarine.com,https://www.aegirmarine.com/,Vendor,Public,20 Sin Ming Lane,#07-56 Midview City,Singapore,Singapore,,,,,
1856,18/12/2015 23:30,Georgi Hristov,,,AEM Anhaltische Elektromotoren,,,,,,Vendor,Public,Daheimstrasse 18,,Dessau-Roßlau,Germany,,06842,,8010043,
4180,1/2/2016 16:42,Auto Import,,,Aeradio Technical Services W.L.L,,97317706470,+973 17706444,hitenc@aeradio.com.bh,,Vendor,Public,P O Box 26803,,Manama,Bahrain,,,,8010135,
4561,1/2/2017 17:08,Auto Import,,,AERIAL,,49 40 52 68 79 13,,sommer@aerial.de,,Vendor,Public,,,,Germany,,,,9002330,
6186,12/4/2019 17:43,Georgi Hristov,,,aeromarine,,+34 91 345 68 28,+34 91 350 15 24,,,Vendor,Public,Av. Pío XII  10-12,,Madrid,Spain,,28016,,8010200,
6474,23/4/2019 18:26,Nicolas Zambas,,,Aeromarine Equipments Supply Pvt Ltd,,+91 22 23747763,,sales@aeromarineindia.com,,---,Public,42-43  Lakdi Bunder Road  Darukhana  Mazagoan  Mumbai  400 010,India,,India,,,,,
1847,18/12/2015 23:30,Georgi Hristov,,,aeromarine SA,,,,,,Vendor,Public,Rbla.25 de Agosto 326,,Montevideo,Uruguay,,CP 11000,,8010034,
1910,18/12/2015 23:30,Georgi Hristov,,,Aerospace and Marine International,,,,,,Vendor,Public,6910 Santa Teresa Blvd.,,San Jose,United States of America,,95119 CA,,8010097,
5989,12/4/2019 17:42,Georgi Hristov,,,Afanasiev  Dmytro,,,,,,Vendor,Public,,,,,,,,5000704,
5621,12/4/2019 17:41,Georgi Hristov,,,Afanasyev  Volodymyr,,,,,,Vendor,Public,,,,Ukraine,,,,5000334,
4562,1/2/2017 17:08,Auto Import,,,Aflex Ships Equipment Pte Ltd,,+65 6293 8680,,sales@aflex.com.sg,,Vendor,Public,#05-06 Tannery Block,,Singapore 347740,Singapore,,RUBY INDUSTRIAL COMP,,9002331,
324,18/12/2015 23:27,Georgi Hristov,,,AFONSO H O Neill a CA LDA,,+351 265529175,+351 265528076,antonio.vidigal@oneill.pt,,Vendor,Public,,,Setubal,Portugal,,,,8000167,
4382,27/1/2017 13:08,Auto Import,,,Africa Marine Services,,,,,,Vendor,Public,The Old Fire Station; 140 Tabernacle Street,,London,United Kingdom,,EC2A 4SD,,8010156,
1874,18/12/2015 23:30,Georgi Hristov,,,African combustion Engineering,,+27 31 702 2712,,btester@yebo.co.za,,Vendor,Public,Unit 17 Marlmead,4 Reed Pl. Maxmead,Pinetown,South Africa,,3610,,8010061,
8802,3/2/2026 11:03,Auto Import,,,African Store,Ship Chandler,2.43855E+11,,africanstore01@yahoo.fr,,Vendor,Public,Nsangu Luyeye 1095,Democratic Republic of Congo,,Congo,,,,9029324,
4270,27/1/2017 12:39,Auto Import,,,Afrimarine (SL) Ltd.,,,,,,Vendor,Public,194 fourah bay road,,Freetown,Sierra Leone,,,,8010172,
1925,18/12/2015 23:30,Georgi Hristov,,,AfriTramp,,(242) 057750808,,,,Vendor,Public,18 rue du Prophete,Lassy Zephirin,Point-Noire,Congo,,BP 674,,8010112,
6578,19/7/2019 11:31,Auto Import,,,Afritramp,,,,,,Vendor,Public,31-32 Quai de Dion-Bouton,Puteaux Cedex,,France,,92811,,8010213,
2625,18/12/2015 23:31,Georgi Hristov,,,AGA Service GmbH,,040/30801-157,040/30801-107,service@aga.de,,Vendor,Public,Kurze Mühren 2,,Hamburg,Germany,,20095,,8090039,
1868,18/12/2015 23:30,Georgi Hristov,,,Agbeta Filtre,,,,,,Vendor,Public,,,,Turkey,,,,8010055,
1905,18/12/2015 23:30,Georgi Hristov,,,Agco Power Inc.,,,,,,Vendor,Public,Vesimlynkatu 3,,Tampere,Finland,,FI-33310,,8010092,
6467,17/4/2019 9:05,Auto Import,,,AGENA TRAMP,,,,,,Vendor,Public,,,Fos Sur Mer,France,,,,90029030,
340,18/12/2015 23:27,Georgi Hristov,,,Agena Tramp LeHavre,,+33 235 192 785,,blucas@agenatramp.fr,,Vendor,Public,156 rue Victor Hugo,BP 1446,LeHavre Cedex,France,,76066,,8000183,
4333,27/1/2017 12:59,Auto Import,,,Agence Maritime Thomas,,,,,,Vendor,Public,Rue du Dahomey,BP 2074,La Rochelle Cedex 1,France,,17010,,8010159,
1826,18/12/2015 23:30,Georgi Hristov,,,Agencia De Viajes Turavion,,,,,,Vendor,Public,Avda Apoqoindo n 3000,3 Piso,Santiago,Chile,,,,8010011,
